timestamp,server_name,level,cpu_usage,memory_usage,message
2026-02-01 13:57:54,srv1,WARNING,97,14,CPU spike detected
2026-02-01 16:13:54,srv1,WARNING,2,91,CPU spike detected
2026-02-01 03:02:03,srv1,INFO,46,98,Routine check OK
2026-02-01 07:49:08,srv1,INFO,53,21,Service started
2026-02-01 00:59:47,srv1,ERROR,2,6,Failed to write log
2026-02-01 09:04:38,srv1,INFO,94,44,Backup completed
2026-02-01 17:31:23,srv1,WARNING,60,9,CPU spike detected
2026-02-01 10:19:14,srv1,ERROR,55,4,Failed to write log
2026-02-01 14:59:18,srv1,INFO,48,14,Service started
2026-02-01 15:53:10,srv1,INFO,98,25,Backup completed
2026-02-01 08:56:35,srv1,WARNING,33,61,High memory usage
2026-02-01 01:40:09,srv1,ERROR,32,75,Failed to write log
2026-02-01 18:29:43,srv1,WARNING,98,34,High memory usage
2026-02-01 17:07:40,srv2,ERROR,26,67,Service crashed
2026-02-01 13:07:20,srv2,ERROR,2,10,Service crashed
2026-02-01 11:31:09,srv2,INFO,36,15,Service started
2026-02-01 02:18:02,srv2,INFO,3,81,Routine check OK
2026-02-01 14:39:41,srv2,ERROR,70,61,Service crashed
2026-02-01 15:31:00,srv2,WARNING,20,53,High memory usage
2026-02-01 08:24:41,srv2,WARNING,43,61,CPU spike detected
2026-02-01 04:40:18,srv2,WARNING,44,3,CPU spike detected
2026-02-01 10:03:38,srv2,WARNING,100,40,Disk space low
2026-02-01 13:01:33,srv2,ERROR,15,72,Failed to write log
2026-02-01 18:47:46,srv2,WARNING,96,80,Disk space low
2026-02-01 06:31:01,srv2,WARNING,40,84,CPU spike detected
2026-02-01 17:56:57,srv2,WARNING,26,19,CPU spike detected
2026-02-01 17:25:09,srv2,WARNING,35,2,High memory usage
2026-02-01 19:56:53,srv2,ERROR,92,77,Service crashed
2026-02-01 05:57:44,srv2,ERROR,12,77,Connection lost
2026-02-01 19:44:26,srv2,WARNING,72,69,High memory usage
2026-02-01 23:26:23,srv2,WARNING,53,75,High memory usage
2026-02-01 18:23:59,srv2,WARNING,89,7,High memory usage
2026-02-01 22:12:07,srv2,INFO,73,31,Routine check OK
2026-02-01 22:52:44,srv2,WARNING,27,42,CPU spike detected
2026-02-01 11:14:39,srv2,INFO,23,52,Routine check OK
2026-02-01 17:20:44,srv2,ERROR,90,78,Failed to write log
2026-02-01 13:29:37,srv2,WARNING,60,67,High memory usage
2026-02-01 03:12:58,srv2,ERROR,64,36,Connection lost
2026-02-01 22:49:17,srv2,INFO,11,92,Routine check OK
2026-02-01 11:01:30,srv2,WARNING,74,68,Disk space low
2026-02-01 19:30:27,srv3,ERROR,75,27,Failed to write log
2026-02-01 00:50:22,srv3,WARNING,71,19,Disk space low
2026-02-01 10:25:04,srv3,INFO,40,19,Routine check OK
2026-02-01 01:09:03,srv3,WARNING,10,50,Disk space low
2026-02-01 21:05:00,srv3,INFO,12,83,Backup completed
2026-02-01 00:44:13,srv3,INFO,16,85,Routine check OK
2026-02-01 00:19:53,srv3,WARNING,47,54,High memory usage
2026-02-01 07:43:23,srv3,ERROR,95,12,Failed to write log
2026-02-01 00:22:58,srv3,INFO,6,67,Routine check OK
2026-02-01 18:51:07,srv3,INFO,18,67,Backup completed
2026-02-02 02:15:38,srv1,ERROR,89,80,Failed to write log
2026-02-02 17:35:20,srv1,ERROR,76,59,Connection lost
2026-02-02 07:41:30,srv1,WARNING,73,56,High memory usage
2026-02-02 18:17:19,srv1,ERROR,100,14,Service crashed
2026-02-02 04:48:57,srv1,INFO,6,67,Routine check OK
2026-02-02 20:54:56,srv1,INFO,81,27,Backup completed
2026-02-02 18:55:57,srv1,INFO,2,96,Routine check OK
2026-02-02 11:39:02,srv1,ERROR,83,0,Failed to write log
2026-02-02 08:26:23,srv1,INFO,54,68,Backup completed
2026-02-02 02:57:30,srv1,INFO,18,13,Backup completed
2026-02-02 19:01:03,srv1,WARNING,70,20,Disk space low
2026-02-02 15:06:55,srv1,ERROR,68,11,Failed to write log
2026-02-02 01:31:21,srv2,WARNING,12,88,Disk space low
2026-02-02 23:49:29,srv2,INFO,99,14,Service started
2026-02-02 11:43:33,srv2,ERROR,89,52,Service crashed
2026-02-02 08:55:31,srv2,ERROR,58,85,Connection lost
2026-02-02 18:01:53,srv2,ERROR,85,50,Service crashed
2026-02-02 09:01:56,srv2,INFO,27,34,Service started
2026-02-02 17:44:02,srv2,ERROR,17,29,Connection lost
2026-02-02 19:55:37,srv2,ERROR,1,40,Connection lost
2026-02-02 15:25:37,srv2,INFO,68,82,Routine check OK
2026-02-02 02:19:06,srv2,ERROR,6,67,Service crashed
2026-02-02 12:56:57,srv2,ERROR,63,31,Service crashed
2026-02-02 12:49:01,srv2,INFO,32,38,Routine check OK
2026-02-02 17:10:18,srv2,ERROR,56,24,Failed to write log
2026-02-02 04:00:31,srv2,WARNING,87,99,Disk space low
2026-02-02 13:05:27,srv2,ERROR,1,68,Connection lost
2026-02-02 06:18:49,srv2,INFO,23,60,Routine check OK
2026-02-02 03:01:06,srv2,INFO,84,82,Service started
2026-02-02 12:15:24,srv2,WARNING,52,72,Disk space low
2026-02-02 13:17:58,srv2,WARNING,66,26,CPU spike detected
2026-02-02 08:11:14,srv2,ERROR,75,27,Service crashed
2026-02-02 09:22:57,srv2,WARNING,43,89,Disk space low
2026-02-02 10:37:30,srv2,INFO,81,37,Backup completed
2026-02-02 12:38:54,srv2,ERROR,16,37,Service crashed
2026-02-02 17:36:18,srv2,WARNING,0,8,Disk space low
2026-02-02 12:14:29,srv2,WARNING,18,100,High memory usage
2026-02-02 16:54:18,srv2,ERROR,46,41,Failed to write log
2026-02-02 15:39:20,srv3,WARNING,83,35,CPU spike detected
2026-02-02 09:08:28,srv3,WARNING,41,34,Disk space low
2026-02-02 03:09:19,srv3,ERROR,53,98,Service crashed
2026-02-02 08:19:09,srv3,WARNING,49,69,High memory usage
2026-02-02 16:23:32,srv3,WARNING,32,55,CPU spike detected
2026-02-02 19:44:23,srv3,INFO,90,59,Routine check OK
2026-02-02 17:42:09,srv3,WARNING,84,48,Disk space low
2026-02-02 20:29:58,srv3,WARNING,24,73,CPU spike detected
2026-02-02 15:46:58,srv3,ERROR,55,82,Failed to write log
2026-02-02 12:39:37,srv3,WARNING,17,69,CPU spike detected
2026-02-02 18:15:45,srv3,INFO,2,60,Backup completed
2026-02-03 06:33:59,srv1,INFO,64,38,Routine check OK
2026-02-03 07:31:43,srv1,INFO,78,5,Service started
2026-02-03 17:03:57,srv1,WARNING,82,7,Disk space low
2026-02-03 06:29:45,srv1,WARNING,73,59,Disk space low
2026-02-03 01:52:19,srv1,WARNING,23,14,Disk space low
2026-02-03 09:49:44,srv1,ERROR,48,59,Service crashed
2026-02-03 15:35:50,srv1,WARNING,78,89,High memory usage
2026-02-03 14:43:22,srv1,WARNING,69,8,CPU spike detected
2026-02-03 22:57:55,srv1,ERROR,4,71,Connection lost
2026-02-03 21:01:43,srv1,WARNING,19,82,Disk space low
