timestamp,server_name,level,cpu_usage,memory_usage,message
2026-02-01 11:33:49,srv1,WARNING,60,97,Disk space low
2026-02-01 17:12:41,srv1,WARNING,38,94,Disk space low
2026-02-01 09:30:38,srv1,INFO,11,15,Backup completed
2026-02-01 23:22:55,srv1,WARNING,1,41,Disk space low
2026-02-01 04:49:04,srv1,ERROR,34,35,Failed to write log
2026-02-01 06:27:37,srv1,INFO,42,76,Backup completed
2026-02-01 10:22:54,srv1,ERROR,52,44,Connection lost
2026-02-01 02:46:35,srv1,ERROR,55,63,Failed to write log
2026-02-01 06:56:12,srv1,ERROR,48,17,Failed to write log
2026-02-01 11:30:08,srv1,INFO,56,87,Backup completed
2026-02-01 11:46:16,srv1,WARNING,24,6,High memory usage
2026-02-01 20:50:20,srv1,ERROR,29,41,Failed to write log
2026-02-01 01:28:14,srv1,WARNING,20,86,High memory usage
2026-02-01 11:37:28,srv1,INFO,83,15,Routine check OK
2026-02-01 23:17:31,srv1,INFO,14,99,Backup completed
2026-02-01 13:24:23,srv1,INFO,21,17,Backup completed
2026-02-01 08:50:32,srv1,INFO,52,64,Routine check OK
2026-02-01 18:19:16,srv1,WARNING,57,68,High memory usage
2026-02-01 12:18:17,srv1,WARNING,53,78,Disk space low
2026-02-01 12:37:00,srv1,INFO,15,8,Routine check OK
2026-02-01 13:34:03,srv2,WARNING,71,68,Disk space low
2026-02-01 05:16:21,srv2,WARNING,14,72,CPU spike detected
2026-02-01 23:01:06,srv2,ERROR,20,17,Service crashed
2026-02-01 04:54:49,srv2,WARNING,96,51,Disk space low
2026-02-01 08:31:04,srv2,INFO,76,3,Backup completed
2026-02-01 20:45:52,srv2,WARNING,21,82,Disk space low
2026-02-01 04:44:54,srv2,WARNING,96,35,High memory usage
2026-02-01 23:07:29,srv2,ERROR,100,96,Failed to write log
2026-02-01 03:57:39,srv2,WARNING,50,55,High memory usage
2026-02-01 01:38:14,srv2,WARNING,36,76,High memory usage
2026-02-01 13:53:09,srv2,INFO,67,6,Service started
2026-02-01 01:06:52,srv2,WARNING,34,17,CPU spike detected
2026-02-01 17:53:25,srv2,ERROR,72,44,Failed to write log
2026-02-01 04:41:20,srv2,WARNING,57,53,High memory usage
2026-02-01 03:52:47,srv2,INFO,52,21,Service started
2026-02-01 03:23:07,srv2,ERROR,3,7,Failed to write log
2026-02-01 06:33:23,srv2,INFO,35,81,Backup completed
2026-02-01 03:20:49,srv2,INFO,65,79,Backup completed
2026-02-01 00:19:41,srv2,WARNING,90,66,CPU spike detected
2026-02-01 18:46:50,srv2,INFO,20,23,Routine check OK
2026-02-01 15:35:15,srv2,INFO,53,22,Backup completed
2026-02-01 16:15:44,srv2,WARNING,56,43,CPU spike detected
2026-02-01 07:53:52,srv2,ERROR,94,32,Connection lost
